city,current_ts,country,current_pollution_aqicn,current_pollution_aqius,current_pollution_maincn,current_pollution_mainus,current_weather_hu,current_weather_ic,current_weather_pr,current_weather_tp,current_weather_wd,current_weather_ws,latitude,longitude,state
Lovettsville,2024-03-01 16:00:00,USA,7,19,p2,p2,43,01d,1035,7,149,3.13,-77.63666,39.2726,Virginia
Flushing,2024-03-02 07:00:00,USA,11,32,p2,p2,82,04n,1020,4,170,1.54,-83.85107,43.06308,Michigan
Fairhope,2024-03-02 05:00:00,USA,3,7,p2,p2,84,50n,1018,17,0,0.0,-87.8706,30.4889,Alabama
Fairhope,2024-03-02 08:00:00,USA,5,14,p2,p2,82,50n,1018,16,0,0.45,-87.8706,30.4889,Alabama
Morrisville,2024-03-01 11:00:00,USA,8,23,p2,p2,83,04n,1031,2,92,1.58,-78.8197,35.8652,North Carolina
Milan,2024-03-01 16:00:00,USA,8,23,p2,p2,53,04d,1020,3,190,6.17,-90.57208,41.45309,Illinois
Red Lake Falls,2024-03-02 06:00:00,USA,16,46,p2,p2,84,04n,1014,-1,340,4.15,-96.27421,47.88219,Minnesota
Columbia,2024-03-01 16:00:00,USA,8,24,p2,p2,92,10d,1031,5,29,3.65,-80.868301,34.1311,South Carolina
Keedysville,2024-03-02 06:00:00,USA,4,13,p2,p2,84,10n,1027,4,217,1.34,-77.69971,39.48621,Maryland
Patrick,2024-03-02 07:00:00,USA,2,5,p2,p2,99,04n,1021,12,343,2.12,-80.198898,34.615299,South Carolina
Mahomet,2024-03-02 07:00:00,USA,37,80,p2,p2,95,01n,1018,2,200,1.34,-88.40422,40.19531,Illinois
Omaha,2024-03-02 07:00:00,USA,31,63,p1,p2,84,01n,1012,3,160,3.6,-95.9731,41.2474,Nebraska
Washington Park,2024-03-01 16:00:00,USA,11,33,p2,p2,81,04d,1021,3,158,2.24,-90.09289,38.63505,Illinois
Boulder City,2024-03-02 05:00:00,USA,13,13,p1,p2,38,01n,1013,14,210,6.17,-114.8442,35.9786,Nevada
Grangeville,2024-03-01 16:00:00,USA,4,12,p2,p2,90,13d,1003,0,189,3.13,-116.115196,45.931301,Idaho
Londonderry,2024-03-02 08:00:00,USA,7,20,p2,p2,68,04n,1030,-1,207,1.58,-72.80649,43.22646,Vermont
Kremmling,2024-03-01 17:00:00,USA,7,20,p2,p2,44,01d,1015,3,70,5.66,-106.38892,40.05887,Colorado
Lake Geneva,2024-03-01 17:00:00,USA,9,27,p2,p2,46,04d,1021,6,194,6.85,-88.4992,42.58,Wisconsin
Lake Geneva,2024-03-02 08:00:00,USA,17,49,p2,p2,91,04n,1018,2,224,4.0,-88.4992,42.58,Wisconsin
Las Cruces,2024-03-02 07:00:00,USA,11,15,o3,p2,47,01n,1020,9,270,1.54,-106.7669,32.3169,New Mexico
Coconut Creek,2024-03-04 11:00:00,USA,15,25,p1,p2,94,04n,1018,20,90,2.06,-80.17894,26.25175,Florida
Montverde,2024-03-04 11:00:00,USA,3,9,p2,p2,98,04n,1021,17,0,0.45,-81.67396,28.60028,Florida
Johns Creek,2024-03-04 12:00:00,USA,9,27,p2,p2,94,50d,1022,13,0,0.0,-84.19858,34.02893,Georgia
Waterbury,2024-03-05 09:00:00,USA,2,6,p2,p2,93,04n,1026,4,135,2.12,-72.75623,44.33783,Vermont
Coffeyville,2024-03-05 09:00:00,USA,9,27,p2,p2,76,01n,1011,7,340,3.09,-95.61637,37.0373,Kansas
Edmond,2024-03-05 11:00:00,USA,31,28,p1,p1,78,01n,1015,6,350,4.63,-97.472198,35.612801,Oklahoma
Freeland,2024-03-05 12:00:00,USA,9,25,p2,p2,90,04n,1012,0,63,0.45,-122.564086,48.029605,Washington
Summit,2024-03-04 12:00:00,USA,0,1,p2,p2,93,04n,1009,1,210,6.69,-122.35707,47.16177,Washington
Charles Town,2024-03-05 11:00:00,USA,5,14,p2,p2,94,10n,1026,9,360,3.09,-77.85972,39.28899,West Virginia
Healy,2024-03-05 11:00:00,USA,2,6,p2,p2,73,04n,1011,-7,0,0.0,-148.967499,63.723301,Alaska
Niagara,2024-03-04 11:00:00,USA,11,33,p2,p2,93,50n,1012,0,0,0.0,-87.99485,45.77135,Wisconsin
Jamestown,2024-03-05 10:00:00,USA,7,21,p2,p2,79,01n,1019,-10,40,2.57,-98.70844,46.91054,North Dakota
Crosby,2024-03-04 10:00:00,USA,2,6,p2,p2,63,01n,1009,-3,240,5.14,-93.95776,46.48218,Minnesota
Jamaica Beach,2024-03-05 11:00:00,USA,7,20,p2,p2,100,50n,1009,20,280,3.09,-94.97965,29.18968,Texas
American Fork,2024-03-04 13:00:00,USA,3,8,p2,p2,77,04n,1011,-3,70,2.68,-111.79576,40.3769,Utah
Waynesboro,2024-03-04 10:00:00,USA,11,31,p2,p2,93,02n,1021,12,26,2.52,-82.01567,33.08987,Georgia
Carrollton,2024-03-04 13:00:00,USA,19,54,p2,p2,84,04d,1011,19,160,5.66,-96.89028,32.95373,Texas
Berkeley Springs,2024-03-05 10:00:00,USA,2,6,p2,p2,91,10n,1020,9,349,1.22,-78.199345,39.648592,West Virginia
Little Cottonwood Creek Valley,2024-03-05 11:00:00,USA,4,11,p2,p2,76,01n,1015,-3,190,4.63,-111.801126,40.596338,Utah
Dover,2024-03-05 09:00:00,USA,1,3,p2,p2,94,10n,1018,6,30,6.17,-75.52437,39.15817,Delaware
Middleborough,2024-03-04 11:00:00,USA,1,2,p2,p2,89,04d,1028,6,40,2.57,-70.91115,41.89316,Massachusetts
Bear,2024-03-05 09:00:00,USA,2,7,p2,p2,89,10n,1021,6,40,8.23,-75.7308,39.5511,Delaware
Gold Beach,2024-03-05 09:00:00,USA,1,2,p2,p2,94,04n,1012,9,339,1.88,-124.42177,42.40733,Oregon
Gold Beach,2024-03-05 11:00:00,USA,1,2,p2,p2,95,04n,1012,8,18,2.61,-124.42177,42.40733,Oregon
Tuscaloosa,2024-03-05 10:00:00,USA,16,47,p2,p2,71,04n,1014,16,60,2.57,-87.56917,33.20984,Alabama
Wilsonville,2024-03-05 10:00:00,USA,5,14,p2,p2,93,04n,1013,3,210,1.54,-122.749159,45.313032,Oregon
Cartersville,2024-03-04 10:00:00,USA,6,16,p2,p2,79,04n,1020,14,90,2.57,-84.806777,34.240957,Georgia
Silver Springs,2024-03-04 11:00:00,USA,1,2,p2,p2,58,04n,1015,0,278,4.02,-119.22461,39.41547,Nevada
San Luis,2024-03-04 13:00:00,USA,3,10,p2,p2,84,03n,1012,-4,202,4.6,-105.4239,37.20085,Colorado
Orting,2024-03-05 12:00:00,USA,9,25,p2,p2,95,04n,1014,0,0,0.0,-122.20428,47.09788,Washington
Magna,2024-03-04 12:00:00,USA,2,7,p2,p2,75,04n,1010,-2,180,7.2,-112.10161,40.70911,Utah
Covington,2024-03-04 11:00:00,USA,12,35,p2,p2,90,04n,1007,11,160,3.6,-84.50855,39.08367,Kentucky
Gulfport,2024-03-05 09:00:00,USA,10,29,p2,p2,92,10n,1012,18,110,6.17,-89.0497,30.39,Mississippi
Upper Arlington,2024-03-04 10:00:00,USA,7,20,p2,p2,81,03n,1022,9,180,1.54,-83.039246,40.02499,Ohio
Cumberland,2024-03-04 13:00:00,USA,7,19,p2,p2,79,03d,1022,8,156,1.53,-82.9885,36.97815,Kentucky
Barre,2024-03-04 13:00:00,USA,12,35,p2,p2,78,50d,1029,4,0,0.0,-72.50205,44.19701,Vermont
Barre,2024-03-05 11:00:00,USA,2,5,p2,p2,77,04d,1025,3,190,3.6,-72.50205,44.19701,Vermont
Ridgefield,2024-03-04 14:00:00,USA,6,18,p2,p2,87,04d,1029,8,20,1.54,-73.49818,41.28148,Connecticut
Chantilly,2024-03-04 13:00:00,USA,9,27,p2,p2,81,04d,1026,10,300,1.54,-77.4311,38.89428,Virginia
Ocala,2024-03-04 12:00:00,USA,14,19,o3,o3,93,50d,1021,16,90,2.06,-82.1008,29.170799,Florida
Los Lunas,2024-03-05 09:00:00,USA,23,29,o3,o3,42,01n,1019,7,58,0.89,-106.7397,34.8147,New Mexico
Hooksett,2024-03-04 12:00:00,USA,6,17,p2,p2,89,04d,1029,7,0,0.0,-71.46507,43.09675,New Hampshire
Fort Smith,2024-03-05 10:00:00,USA,6,17,p2,p2,93,03n,1009,17,35,1.34,-94.39855,35.38592,Arkansas
Dalton Gardens,2024-03-04 11:00:00,USA,6,18,p2,p2,93,04n,1007,-1,160,4.63,-116.77019,47.72963,Idaho
Tulalip Bay,2024-03-05 11:00:00,USA,6,19,p2,p2,92,04n,1014,0,0,0.0,-122.31014,48.03732,Washington
Delavan,2024-03-05 10:00:00,USA,1,3,p2,p2,90,10n,1015,4,31,6.24,-88.64371,42.63307,Wisconsin
Fredericksburg,2024-03-04 11:00:00,USA,5,15,p2,p2,89,04n,1022,10,99,0.45,-77.46054,38.30318,Virginia
Mountain Brook,2024-03-04 11:00:00,USA,12,36,p2,p2,96,04n,1020,15,0,2.06,-86.75221,33.50094,Alabama
Loudon,2024-03-04 13:00:00,USA,16,47,p2,p2,96,04d,1022,9,69,1.3,-84.3172,35.7447,Tennessee
Saint Petersburg,2024-03-05 11:00:00,USA,3,8,p2,p2,91,04n,1015,19,84,1.34,-82.74,27.7858,Florida
Harvest,2024-03-05 10:00:00,USA,10,28,p2,p2,89,04n,1015,15,170,2.06,-86.75083,34.85564,Alabama
Valdez,2024-03-04 11:00:00,USA,4,12,p2,p2,66,04n,1023,-10,90,1.54,-146.34833,61.13083,Alaska
Cody,2024-03-05 12:00:00,USA,3,8,p2,p2,47,01n,1012,-5,360,3.13,-109.016733,44.52612,Wyoming
Midland,2024-03-04 11:00:00,USA,19,54,p2,p2,95,04n,1012,10,15,2.47,-80.50062,35.22737,North Carolina
Midland,2024-03-04 12:00:00,USA,12,35,p2,p2,88,01d,1015,8,180,5.14,-84.24721,43.61558,Michigan
Kingsport,2024-03-05 12:00:00,USA,12,36,p2,p2,90,04d,1019,9,110,0.45,-82.5217,36.5408,Tennessee
Bristol,2024-03-04 10:00:00,USA,6,17,p2,p2,86,01n,985,9,90,3.09,-82.18847,36.59649,Virginia
Torrington,2024-03-04 13:00:00,USA,37,34,p1,p1,37,01n,1010,0,0,2.57,-104.18439,42.06246,Wyoming
Lebanon,2024-03-04 11:00:00,USA,6,19,p2,p2,97,03n,1018,11,0,0.0,-86.2861,36.0603,Tennessee
Star Valley Ranch,2024-03-05 10:00:00,USA,3,9,p2,p2,86,04n,1014,-15,49,1.79,-110.95556,42.97139,Wyoming
Tarboro,2024-03-05 11:00:00,USA,4,11,p2,p2,94,04n,1019,12,0,0.0,-77.5867,35.9889,North Carolina
Phoenix,2024-03-04 13:00:00,USA,10,29,p2,p2,94,04n,1016,0,156,1.57,-122.809874,42.311062,Oregon
Launiupoko,2024-03-04 13:00:00,USA,1,3,p2,p2,90,10n,1018,21,83,3.24,-156.63764,20.85,Hawaii
Gypsum,2024-03-05 12:00:00,USA,3,8,p2,p2,93,04n,1017,-2,100,2.06,-106.941801,39.639076,Colorado
Clayton,2024-03-04 14:00:00,USA,17,49,p2,p2,88,03d,1012,16,150,5.14,-90.32373,38.64255,Missouri
Shingletown,2024-03-04 13:00:00,USA,2,6,p2,p2,97,13n,1019,-3,171,0.83,-121.936581,40.513608,California
Beulah,2024-03-05 08:00:00,USA,7,17,p1,p2,92,01n,1018,-18,0,0.0,-101.7669,47.2986,North Dakota
Durant,2024-03-04 14:00:00,USA,22,58,p2,p2,89,04d,1010,18,186,9.1,-96.405636,33.945167,Oklahoma
Bottineau,2024-03-05 09:00:00,USA,3,9,p2,p2,92,01n,1026,-23,7,1.77,-100.4457,48.82723,North Dakota
Seldovia,2024-03-04 11:00:00,USA,16,46,p2,p2,80,04n,1014,0,0,0.0,-151.71139,59.43806,Alaska
Star,2024-03-05 12:00:00,USA,1,3,p2,p2,90,50n,1010,0,100,5.14,-116.49346,43.69211,Idaho
Olathe,2024-03-04 12:00:00,USA,17,49,p2,p2,88,01n,1004,15,160,7.72,-94.7464,38.8386,Kansas
Lacey,2024-03-04 11:00:00,USA,0,1,p2,p2,91,04n,1009,0,200,4.12,-122.821503,47.029301,Washington
Westminster,2024-03-04 13:00:00,USA,4,11,p2,p2,57,04n,1011,-2,210,4.12,-105.0372,39.83665,Colorado
Sherborn,2024-03-04 13:00:00,USA,4,12,p2,p2,81,04d,1029,9,50,6.17,-71.36978,42.23899,Massachusetts
Richfield Springs,2024-03-04 13:00:00,USA,7,21,p2,p2,94,04d,1028,5,116,2.15,-74.98543,42.85341,New York
Norwood,2024-03-04 10:00:00,USA,16,45,p2,p2,88,04n,1010,10,84,2.68,-84.45966,39.15561,Ohio
Rock Hill,2024-03-05 11:00:00,USA,15,45,p2,p2,87,50n,1020,7,0,0.0,-81.02508,34.92487,South Carolina
Newfane,2024-03-04 14:00:00,USA,9,25,p2,p2,81,04d,1030,7,135,1.28,-72.65593,42.98564,Vermont
Des Moines,2024-03-05 09:00:00,USA,12,33,p2,p2,81,02n,1022,0,20,4.12,-93.643303,41.6031,Iowa
Athens,2024-03-04 13:00:00,USA,6,16,p2,p2,87,04d,1022,6,0,0.0,-82.1183,39.308,Ohio
Kula,2024-03-05 12:00:00,USA,3,8,p2,p2,85,10n,1017,15,50,8.23,-156.32695,20.79094,Hawaii
Brookline,2024-03-04 13:00:00,USA,3,9,p2,p2,83,04d,1029,8,0,1.54,-71.65813,42.73481,New Hampshire
Mena,2024-03-05 09:00:00,USA,8,24,p2,p2,94,04n,1011,16,80,2.06,-94.1433,34.4544,Arkansas
La Salle,2024-03-04 11:00:00,USA,15,43,p2,p2,93,50n,1012,10,140,4.63,-89.09175,41.33337,Illinois
Moberly,2024-03-04 12:00:00,USA,12,36,p2,p2,83,01n,1009,13,150,7.2,-92.43824,39.41837,Missouri
Townsend,2024-03-04 12:00:00,USA,6,19,p2,p2,95,04d,1022,6,126,1.52,-83.7836,35.6031,Tennessee
Hazard,2024-03-04 11:00:00,USA,11,33,p2,p2,76,04n,1021,13,157,1.38,-83.2203,37.2831,Kentucky
Vonore,2024-03-04 11:00:00,USA,10,28,p2,p2,97,01n,1020,9,69,1.11,-84.24186,35.59008,Tennessee
Vonore,2024-03-04 12:00:00,USA,11,33,p2,p2,97,02d,1021,8,72,1.22,-84.24186,35.59008,Tennessee
Wamego,2024-03-05 10:00:00,USA,7,20,p2,p2,79,04n,1013,1,360,1.34,-96.305,39.20194,Kansas
Shorewood,2024-03-04 13:00:00,USA,12,33,p2,p2,71,02d,1014,6,320,1.54,-87.88758,43.08918,Wisconsin
Milton,2024-03-05 10:00:00,USA,1,4,p2,p2,94,50n,1027,3,60,3.6,-71.114403,42.2117,Massachusetts
Appleton,2024-03-05 12:00:00,USA,3,10,p2,p2,80,03n,1019,1,10,4.63,-88.3956,44.3069,Wisconsin
Jennings,2024-03-04 11:00:00,USA,12,35,p2,p2,85,01n,1009,15,200,5.14,-90.26039,38.71922,Missouri
St Louis,2024-03-05 10:00:00,USA,9,27,p2,p2,82,01n,1009,18,220,2.06,-90.19789,38.62727,Missouri
North Charleston,2024-03-05 10:00:00,USA,16,47,p2,p2,97,50n,1019,12,129,0.45,-79.977539,32.88229,South Carolina
Upper Grand Lagoon,2024-03-04 14:00:00,USA,6,18,p2,p2,98,50d,1019,17,100,4.12,-85.74076,30.16326,Florida
Sherwood,2024-03-04 13:00:00,USA,2,6,p2,p2,93,13n,1013,1,230,5.66,-122.854437,45.402446,Oregon
Fallon,2024-03-05 12:00:00,USA,6,18,p2,p2,75,01n,1014,0,140,3.6,-118.783624,39.472471,Nevada
Indianola,2024-03-04 12:00:00,USA,11,32,p2,p2,95,04n,1015,16,152,3.58,-90.65509,33.45095,Mississippi
Makawao,2024-03-04 10:00:00,USA,1,3,p2,p2,89,10n,1018,18,50,8.75,-156.31306,20.85694,Hawaii
Minneapolis,2024-03-05 10:00:00,USA,8,24,p2,p2,58,01n,1020,-3,350,2.57,-93.2581,44.9536,Minnesota
Bellaire,2024-03-05 09:00:00,USA,10,28,p2,p2,79,04n,1013,3,20,5.66,-97.2472,37.750268,Kansas
Portland,2024-03-05 09:00:00,USA,5,14,p2,p2,75,04n,1028,3,80,3.09,-70.268967,43.660248,Maine
Anchorage,2024-03-05 10:00:00,USA,12,33,p2,p2,80,03n,1012,15,170,3.09,-85.53302,38.26674,Kentucky
Anchorage,2024-03-05 12:00:00,USA,6,8,p1,p2,88,04n,1012,-6,350,2.57,-149.8246,61.205861,Alaska
"Washington, D.C.",2024-03-04 12:00:00,USA,18,34,o3,p2,84,04d,1026,9,80,1.54,-76.958089,38.895683,District of Columbia
"Washington, D.C.",2024-03-04 13:00:00,USA,10,28,p2,p2,83,04d,1026,10,50,2.06,-76.958089,38.895683,District of Columbia
"Washington, D.C.",2024-03-05 10:00:00,USA,1,2,p2,p2,91,50n,1019,8,30,6.69,-76.958089,38.895683,District of Columbia
"Washington, D.C.",2024-03-05 11:00:00,USA,20,27,o3,o3,91,10n,1019,8,30,6.17,-76.958089,38.895683,District of Columbia
Cedar City,2024-03-05 09:00:00,USA,7,20,p2,p2,86,01n,1016,-3,210,1.54,-113.062237,37.687324,Utah
Orr,2024-03-05 11:00:00,USA,2,7,p2,p2,62,01n,1024,-12,298,1.47,-92.8292,48.4128,Minnesota
Elizabethton,2024-03-05 11:00:00,USA,10,30,p2,p2,80,01n,1019,9,0,0.0,-82.21069,36.34872,Tennessee
North Browning,2024-03-04 11:00:00,USA,6,17,p2,p2,92,04n,1021,-16,105,1.36,-113.00953,48.57025,Montana
Tahlequah,2024-03-05 09:00:00,USA,4,11,p2,p2,81,03n,1011,10,0,0.0,-94.986099,35.854198,Oklahoma
Talent,2024-03-04 13:00:00,USA,6,17,p2,p2,94,04n,1016,-3,153,1.94,-122.721987,42.278694,Oregon
McKeesport,2024-03-04 10:00:00,USA,8,23,p2,p2,89,01n,1022,8,170,3.6,-79.868301,40.323898,Pennsylvania
Gillette,2024-03-04 11:00:00,USA,2,7,p2,p2,60,04n,1012,-8,146,1.3,-105.530296,44.147202,Wyoming
Highland Heights,2024-03-04 10:00:00,USA,6,18,p2,p2,89,02n,1015,10,110,2.68,-84.45189,39.03312,Kentucky
Ada,2024-03-05 11:00:00,USA,25,23,p1,p1,66,01n,1011,9,360,3.6,-96.67834,34.77453,Oklahoma
Chaska,2024-03-04 12:00:00,USA,6,16,p2,p2,65,13n,1012,1,280,3.6,-93.60218,44.78941,Minnesota
Gallup,2024-03-04 10:00:00,USA,1,3,p2,p2,75,04n,1014,2,240,4.63,-108.730331,35.506595,New Mexico
Bridgeport,2024-03-04 12:00:00,USA,7,14,p1,p2,84,04d,1027,6,20,3.09,-73.195297,41.171398,Connecticut
Brunswick,2024-03-05 09:00:00,USA,4,11,p2,p2,80,04n,1030,2,112,1.69,-69.96533,43.91452,Maine
Greenville,2024-03-04 13:00:00,USA,2,6,p2,p2,99,04d,1023,12,360,2.57,-77.358002,35.638599,North Carolina
Greenville,2024-03-05 09:00:00,USA,11,33,p2,p2,89,01n,1019,11,100,1.54,-82.414597,34.843899,South Carolina
Martinsburg,2024-03-05 12:00:00,USA,2,7,p2,p2,96,10d,1019,9,350,3.09,-77.958298,39.465599,West Virginia
Bar Harbor,2024-03-05 10:00:00,USA,28,37,o3,o3,77,04n,1037,1,140,3.09,-68.260902,44.377048,Maine
Madison,2024-03-05 11:00:00,USA,1,4,p2,p2,89,02n,1017,11,162,1.97,-81.81929,38.06705,West Virginia
West Mifflin,2024-03-05 09:00:00,USA,3,8,p2,p2,80,01n,1018,10,160,4.63,-79.86644,40.3634,Pennsylvania
Charlottesville,2024-03-04 12:00:00,USA,10,29,p2,p2,95,50d,1025,7,0,0.0,-78.503998,38.076599,Virginia
Rumford,2024-03-05 11:00:00,USA,22,29,o3,o3,87,50d,1026,4,40,3.09,-71.361702,41.840302,Rhode Island
Worcester,2024-03-04 10:00:00,USA,3,8,p2,p2,96,04n,1027,4,99,1.66,-74.75043,42.59146,New York
Lakeside,2024-03-04 12:00:00,USA,19,29,n2,p2,94,04d,1025,8,60,1.54,-77.47693,37.60765,Virginia
Goleta,2024-03-05 09:00:00,USA,2,5,p2,p2,85,01n,1016,10,43,2.68,-119.827797,34.445301,California
Marble Falls,2024-03-04 10:00:00,USA,21,56,p2,p2,87,01n,1011,19,131,1.79,-98.217097,30.504678,Texas
Montpelier,2024-03-04 12:00:00,USA,10,28,p2,p2,82,50d,1028,3,0,0.0,-72.575387,44.260059,Vermont
Ponca City,2024-03-04 12:00:00,USA,19,35,p1,p2,86,01n,1002,16,170,6.69,-97.081278,36.697189,Oklahoma
Jacksonville,2024-03-04 14:00:00,USA,17,38,p1,p2,93,50d,1021,15,40,3.6,-81.5869,30.4758,Florida
Jacksonville,2024-03-05 09:00:00,USA,2,6,p2,p2,87,09n,1009,16,150,2.57,-92.11015,34.8662,Arkansas
Ranchos,2024-03-05 09:00:00,USA,9,27,p2,p2,70,04n,1016,0,160,2.57,-119.732101,38.897611,Nevada
Mound,2024-03-05 09:00:00,USA,7,20,p2,p2,60,04n,1019,-3,11,2.39,-93.660038,44.967794,Minnesota
Mound,2024-03-05 11:00:00,USA,6,18,p2,p2,64,04n,1021,-4,33,2.84,-93.660038,44.967794,Minnesota
Pahrump,2024-03-04 13:00:00,USA,28,59,p1,p2,62,04n,1011,5,129,2.68,-115.996263,36.159639,Nevada
Whiterocks,2024-03-04 13:00:00,USA,89,87,p1,p1,76,04n,1020,-6,359,2.73,-109.906197,40.483799,Utah
Tolland,2024-03-05 11:00:00,USA,1,2,p2,p2,96,04d,1021,3,82,2.68,-72.36869,41.87149,Connecticut
New Brighton,2024-03-05 12:00:00,USA,3,10,p2,p2,85,04d,1018,10,150,3.09,-80.31006,40.73034,Pennsylvania
Decorah,2024-03-05 08:00:00,USA,6,17,p2,p2,93,01n,1015,1,10,3.6,-91.791568,43.300076,Iowa
Presque Isle,2024-03-05 09:00:00,USA,13,20,p1,p2,76,01n,1027,-1,160,4.12,-68.016195,46.682299,Maine
New Orleans,2024-03-05 11:00:00,USA,3,8,p2,p2,87,11n,1011,18,80,2.57,-90.1014,29.9933,Louisiana
Seiling,2024-03-05 12:00:00,USA,27,29,p1,p2,73,01n,1016,4,5,4.21,-98.9353,36.1589,Oklahoma
Emporia,2024-03-04 10:00:00,USA,11,31,p2,p2,77,01n,1003,16,160,9.26,-96.18166,38.4039,Kansas
Johnson,2024-03-04 14:00:00,USA,14,41,p2,p2,95,04d,1030,6,160,1.54,-72.6804,44.63561,Vermont
Smyrna,2024-03-04 13:00:00,USA,7,20,p2,p2,94,50d,1023,13,90,3.09,-84.51438,33.88399,Georgia
Hagerstown,2024-03-04 11:00:00,USA,15,20,o3,o3,92,02n,1024,7,0,0.0,-77.721901,39.565601,Maryland
Oregon,2024-03-05 11:00:00,USA,11,31,p2,p2,78,01n,1013,13,180,4.12,-83.48688,41.64366,Ohio
Elizabethtown,2024-03-05 09:00:00,USA,5,15,p2,p2,95,04n,1024,6,176,3.27,-73.59097,44.21616,New York
Lakin,2024-03-05 08:00:00,USA,4,11,p2,p2,64,01n,1015,1,92,2.8,-101.25489,37.94058,Kansas
Bethesda,2024-03-05 10:00:00,USA,3,10,p2,p2,90,10n,1017,8,30,6.69,-77.10026,38.98067,Maryland
Charleston,2024-03-05 10:00:00,USA,16,46,p2,p2,98,50n,1019,12,81,0.89,-79.959,32.791,South Carolina
Middlesboro,2024-03-05 09:00:00,USA,23,59,p2,p2,100,50n,1018,7,0,0.0,-83.7369,36.6081,Kentucky
Pascagoula,2024-03-05 10:00:00,USA,7,20,p2,p2,95,10n,1012,17,140,5.14,-88.533897,30.377501,Mississippi
Ashland,2024-03-04 12:00:00,USA,5,13,p2,p2,98,04d,1022,14,108,2.55,-85.83607,33.27373,Alabama
Cape Elizabeth,2024-03-05 11:00:00,USA,5,14,p2,p2,74,04d,1027,3,90,3.09,-70.207321,43.561043,Maine
Vinton,2024-03-04 11:00:00,USA,8,22,p2,p2,97,03n,1013,20,137,2.08,-93.58127,30.19076,Louisiana
Satellite Beach,2024-03-05 10:00:00,USA,11,33,p2,p2,95,01n,1015,18,50,2.57,-80.59005,28.17612,Florida
Duchesne,2024-03-05 12:00:00,USA,21,28,o3,o3,73,04n,1024,-5,299,1.04,-110.40293,40.16329,Utah
Bolivar,2024-03-05 11:00:00,USA,5,15,p2,p2,96,10n,1019,9,360,0.45,-77.75277,39.32343,West Virginia
Bridgeville,2024-03-04 14:00:00,USA,1,2,p2,p2,82,04d,1026,13,65,2.24,-75.60437,38.74261,Delaware
Marion,2024-03-05 11:00:00,USA,10,30,p2,p2,94,04n,1013,14,0,0.0,-90.1911,35.1967,Arkansas
Windham,2024-03-04 11:00:00,USA,13,37,p2,p2,68,04d,1029,5,0,0.0,-72.15702,41.69982,Connecticut
Lehi,2024-03-04 14:00:00,USA,3,9,p2,p2,76,04d,1004,-2,131,7.6,-111.896042,40.428109,Utah
Natural Bridge Station,2024-03-04 11:00:00,USA,4,11,p2,p2,95,04n,1024,9,341,1.1,-79.5126,37.62668,Virginia
Maryville,2024-03-05 10:00:00,USA,23,30,o3,o3,96,04n,1017,8,128,2.05,-83.9422,35.6322,Tennessee
Phippsburg,2024-03-04 10:00:00,USA,18,23,o3,o3,97,02n,1027,3,13,5.82,-69.81477,43.82064,Maine
Pike Creek,2024-03-04 13:00:00,USA,13,36,p2,p2,88,04d,1027,9,86,0.45,-75.7041,39.73095,Delaware
Medora,2024-03-04 13:00:00,USA,23,29,o3,o3,74,01n,1020,-14,289,5.42,-103.514397,46.949699,North Dakota
Brownsville,2024-03-05 11:00:00,USA,18,35,o3,p2,93,04n,1014,16,177,4.5,-86.26775,37.19255,Kentucky
Lompoc,2024-03-04 12:00:00,USA,2,7,p2,p2,86,01n,1018,7,30,2.57,-120.456703,34.637798,California
Fargo,2024-03-05 12:00:00,USA,3,8,p2,p2,76,01n,1024,-7,50,2.06,-96.854698,46.933601,North Dakota
Homewood,2024-03-05 10:00:00,USA,11,33,p2,p2,89,04n,1016,16,110,2.06,-86.796337,33.480218,Alabama
Ypsilanti,2024-03-05 12:00:00,USA,14,42,p2,p2,87,04d,1011,11,170,2.06,-83.5997,42.24,Michigan
Rochester,2024-03-04 11:00:00,USA,9,27,p2,p2,85,03n,1022,4,190,1.54,-77.5481,43.1461,New York
Rochester,2024-03-05 10:00:00,USA,5,15,p2,p2,71,04n,1018,11,200,5.14,-77.5481,43.1461,New York
Chesterton,2024-03-05 09:00:00,USA,3,9,p2,p2,98,04n,1010,6,90,3.6,-87.0642,41.61059,Indiana
Silver Summit,2024-03-05 12:00:00,USA,6,17,p2,p2,84,04n,1013,-7,159,3.12,-111.48775,40.74144,Utah
Mexico,2024-03-04 14:00:00,USA,37,80,p2,p2,65,04d,1032,6,89,0.91,-70.54534,44.5609,Maine
Kuna,2024-03-05 09:00:00,USA,3,7,p2,p2,68,13n,1012,1,120,7.72,-116.42012,43.49183,Idaho
Syracuse,2024-03-04 14:00:00,USA,5,14,p2,p2,81,04d,1024,12,180,4.47,-76.14742,43.04812,New York
Keystone,2024-03-04 13:00:00,USA,2,6,p2,p2,83,04n,1013,-9,242,5.13,-105.98724,39.59943,Colorado
San Gabriel,2024-03-05 12:00:00,USA,6,19,p2,p2,80,01n,1018,9,0,0.0,-118.1081,34.0833,California
New Ellenton,2024-03-05 10:00:00,USA,12,34,p2,p2,93,04n,1018,9,110,2.08,-81.68567,33.42153,South Carolina
Creede,2024-03-04 12:00:00,USA,3,10,p2,p2,97,03n,1017,-2,220,2.29,-107.015573,37.743173,Colorado
Albany,2024-03-05 11:00:00,USA,1,2,p2,p2,62,04n,1025,-8,270,4.38,-105.72391,41.65447,Wyoming
