city,current_ts,country,current_pollution_aqicn,current_pollution_aqius,current_pollution_maincn,current_pollution_mainus,current_weather_hu,current_weather_ic,current_weather_pr,current_weather_tp,current_weather_wd,current_weather_ws,latitude,longitude,state
Des Plaines,2024-03-02 06:00:00,USA,11,32,p2,p2,64,04n,1017,4,230,2.06,-87.8631,42.0603,Illinois
Santa Fe,2024-03-02 05:00:00,USA,7,20,p2,p2,34,01n,1018,7,0,1.54,-106.0797,35.6198,New Mexico
Muscatine,2024-03-01 16:00:00,USA,11,31,p2,p2,45,01d,1020,3,140,2.57,-91.0684,41.4014,Iowa
Colorado City,2024-03-02 07:00:00,USA,5,16,p2,p2,48,01n,1016,5,130,2.06,-112.97577,36.99026,Arizona
Hooksett,2024-03-01 16:00:00,USA,4,10,p2,p2,45,01d,1035,0,260,4.63,-71.46507,43.09675,New Hampshire
Mission,2024-03-02 06:00:00,USA,5,15,p2,p2,61,04n,992,4,80,6.17,-118.68359,45.67041,Oregon
Fort Smith,2024-03-02 07:00:00,USA,11,31,p2,p2,86,01n,1018,6,50,3.09,-94.39855,35.38592,Arkansas
Fredericksburg,2024-03-01 10:00:00,USA,6,19,p2,p2,70,01n,1031,-1,0,0.0,-77.46054,38.30318,Virginia
Mattawa,2024-03-02 06:00:00,USA,0,1,p2,p2,72,04n,996,2,19,2.27,-119.90282,46.73791,Washington
Lewis Center,2024-03-01 17:00:00,USA,6,16,p2,p2,47,01d,1024,5,140,4.63,-83.01018,40.1984,Ohio
Haverhill,2024-03-02 08:00:00,USA,18,44,o3,p2,67,01n,1032,0,210,3.09,-71.1028,42.7708,Massachusetts
Moretown,2024-03-02 06:00:00,USA,6,17,p2,p2,66,01n,1030,0,150,3.6,-72.76095,44.25089,Vermont
Green Valley,2024-03-01 17:00:00,USA,7,11,p1,p2,54,01d,1017,16,225,1.34,-110.9964,31.8794,Arizona
Loudon,2024-03-02 05:00:00,USA,15,43,p2,p2,95,04n,1020,6,324,0.86,-84.3172,35.7447,Tennessee
Waveland,2024-03-01 10:00:00,USA,12,35,p2,p2,98,10n,1019,10,74,5.4,-89.395798,30.3008,Mississippi
Harvest,2024-03-01 11:00:00,USA,11,31,p2,p2,81,10n,1024,6,160,2.57,-86.75083,34.85564,Alabama
Harvest,2024-03-02 06:00:00,USA,10,30,p2,p2,97,09n,1021,7,140,2.57,-86.75083,34.85564,Alabama
Rehoboth Beach,2024-03-02 06:00:00,USA,2,6,p2,p2,79,10n,1032,6,174,1.34,-75.07601,38.72095,Delaware
West Saint Paul,2024-03-02 06:00:00,USA,19,53,p2,p2,70,01n,1010,5,150,2.57,-93.122546,44.930604,Minnesota
Forest Park,2024-03-01 11:00:00,USA,11,33,p2,p2,74,04n,1027,5,100,6.17,-84.36909,33.62205,Georgia
Forest Park,2024-03-02 05:00:00,USA,11,31,p2,p2,91,50n,1022,5,80,5.14,-84.36909,33.62205,Georgia
Cody,2024-03-01 16:00:00,USA,3,9,p2,p2,56,01d,1002,6,360,5.36,-109.016733,44.52612,Wyoming
Kalispell,2024-03-02 09:00:00,USA,4,13,p2,p2,80,01n,997,-3,0,0.0,-114.305557,48.202499,Montana
Cranston,2024-03-01 10:00:00,USA,1,2,p2,p2,65,01n,1041,-4,260,2.57,-71.43728,41.77982,Rhode Island
West Cornwall,2024-03-02 06:00:00,USA,11,24,p1,p2,83,04n,1034,-1,184,2.04,-73.303299,41.833099,Connecticut
Los Angeles,2024-03-01 10:00:00,USA,23,11,n2,o3,82,04n,1019,12,250,3.6,-118.2417,34.0669,California
North Saint Paul,2024-03-01 10:00:00,USA,8,24,p2,p2,42,01n,1012,3,190,8.75,-92.99188,45.01247,Minnesota
Baileys Harbor,2024-03-02 07:00:00,USA,17,48,p2,p2,80,01n,1016,1,200,2.57,-87.12427,45.06499,Wisconsin
Madisonville,2024-03-02 07:00:00,USA,7,14,o3,p2,83,04n,1018,12,334,1.59,-90.1997,30.4293,Louisiana
Overlea,2024-03-02 07:00:00,USA,6,19,p2,p2,88,09n,1030,3,30,2.06,-76.543799,39.347563,Maryland
Ogallala,2024-03-02 08:00:00,USA,16,46,p2,p2,69,01n,1007,2,330,2.57,-101.71962,41.12805,Nebraska
Winter Park,2024-03-01 16:00:00,USA,22,33,p1,p2,69,03d,1022,25,150,7.2,-81.3628,28.5997,Florida
Jackson,2024-03-01 16:00:00,USA,3,7,p2,p2,94,13d,1007,-1,227,7.23,-110.831398,44.456902,Wyoming
Jackson,2024-03-02 05:00:00,USA,8,22,p2,p2,98,10n,1023,6,147,1.99,-82.63655,39.05202,Ohio
Brookside,2024-03-01 10:00:00,USA,16,47,p2,p2,72,01n,1036,-2,0,0.0,-75.761845,39.655167,Delaware
Greenup,2024-03-02 04:00:00,USA,8,19,p1,p2,96,10n,1022,6,0,0.0,-82.83017,38.57313,Kentucky
Pahala,2024-03-01 15:00:00,USA,9,25,p2,p2,78,04n,1021,18,61,3.94,-155.4786,19.20297,Hawaii
Golden,2024-03-01 16:00:00,USA,6,17,p2,p2,27,03d,1010,10,250,9.26,-105.1786,39.7419,Colorado
Kansas City,2024-03-02 05:00:00,USA,41,56,p1,p2,67,01n,1015,7,220,2.06,-94.570602,39.104698,Missouri
Bayfield,2024-03-02 07:00:00,USA,4,10,p2,p2,72,01n,1018,-1,20,2.57,-107.59811230000004,37.2255593,Colorado
Des Moines,2024-03-01 16:00:00,USA,8,23,p2,p2,63,03d,1022,6,200,6.17,-93.643303,41.6031,Iowa
Athens,2024-03-01 15:00:00,USA,4,11,p2,p2,72,10d,1029,3,70,5.66,-83.3575,33.925,Georgia
Athens,2024-03-02 08:00:00,USA,14,40,p2,p2,82,04n,1018,4,124,0.45,-85.269958,42.102412,Michigan
Medford,2024-03-02 06:00:00,USA,10,29,p2,p2,67,04n,1031,1,220,6.17,-71.10616,42.41843,Massachusetts
Vonore,2024-03-01 11:00:00,USA,7,19,p2,p2,85,10n,1026,3,23,0.45,-84.24186,35.59008,Tennessee
Clarksboro,2024-03-01 10:00:00,USA,1,3,p2,p2,70,01n,1032,-1,0,0.0,-75.21212,39.800339,New Jersey
Ester,2024-03-02 09:00:00,USA,12,34,p2,p2,68,01n,1030,-36,0,0.0,-147.945786,64.934868,Alaska
Wilson,2024-03-02 07:00:00,USA,26,33,o3,o3,93,13n,1003,-1,340,1.54,-110.87521,43.50076,Wyoming
Velva,2024-03-01 17:00:00,USA,6,17,p2,p2,53,04d,1002,9,315,7.93,-100.92932,48.05612,North Dakota
Jennings,2024-03-01 17:00:00,USA,7,19,p2,p2,76,04d,1019,4,200,1.54,-90.26039,38.71922,Missouri
Blacksburg,2024-03-01 17:00:00,USA,11,31,p2,p2,39,04d,1031,7,110,3.6,-80.41394,37.22957,Virginia
Lander,2024-03-01 10:00:00,USA,32,42,o3,o3,76,02n,1010,0,244,8.79,-108.7203,42.5275,Wyoming
Big Sky,2024-03-02 06:00:00,USA,1,4,p2,p2,92,04n,1006,-4,126,2.14,-111.36829,45.28465,Montana
Alsip,2024-03-02 06:00:00,USA,13,38,p2,p2,70,04n,1018,4,210,3.09,-87.7325,41.6708,Illinois
North Charleston,2024-03-01 10:00:00,USA,13,33,p1,p2,68,04n,1029,10,30,3.09,-79.977539,32.88229,South Carolina
Taos,2024-03-01 10:00:00,USA,11,32,p2,p2,58,01n,1021,0,359,1.79,-105.5833,36.3833,New Mexico
Almont,2024-03-02 05:00:00,USA,11,32,p2,p2,81,04n,1022,4,194,3.63,-83.04493,42.92058,Michigan
Klamath,2024-03-02 07:00:00,USA,2,6,p2,p2,89,13n,996,-3,230,5.78,-121.65013,42.68634,Oregon
Fallon,2024-03-02 06:00:00,USA,2,6,p2,p2,71,04n,1000,5,180,7.2,-118.783624,39.472471,Nevada
Kingston,2024-03-01 17:00:00,USA,15,44,p2,p2,97,04d,1022,4,59,1.98,-84.50854,35.88091,Tennessee
Makawao,2024-03-01 17:00:00,USA,2,6,p2,p2,78,02d,1018,17,50,5.14,-156.31306,20.85694,Hawaii
Newell,2024-03-02 07:00:00,USA,1,4,p2,p2,94,50n,1021,6,330,2.57,-80.73562,35.27959,North Carolina
Pikeville,2024-03-02 05:00:00,USA,5,13,p2,p2,92,10n,1025,9,150,3.6,-82.5353,37.4828,Kentucky
Anchorage,2024-03-02 09:00:00,USA,14,39,p2,p2,95,50n,1019,6,160,1.54,-85.53302,38.26674,Kentucky
Nacogdoches,2024-03-01 11:00:00,USA,4,12,p2,p2,97,04n,1020,6,140,2.06,-94.65549,31.60351,Texas
"Washington, D.C.",2024-03-01 16:00:00,USA,22,29,o3,o3,35,03d,1036,8,90,4.12,-76.958089,38.895683,District of Columbia
"Washington, D.C.",2024-03-02 05:00:00,USA,25,32,o3,o3,86,04n,1031,5,100,2.57,-76.958089,38.895683,District of Columbia
"Washington, D.C.",2024-03-02 08:00:00,USA,24,31,o3,o3,88,04n,1028,4,70,3.09,-76.958089,38.895683,District of Columbia
